"file","original_bytes","optimized_bytes","candidate_bytes","saved_bytes","optimized","method","reason","webp_file","webp_bytes","webp_saved_bytes","webp_created","webp_reason","pdf_file","pdf_bytes","pdf_saved_bytes","pdf_created","pdf_reason"
"figures/catch-by-fishery-fits.png",271626,114787,114787,156839,TRUE,"pngquant","lossy PNG quality 50-78","figures/catch-by-fishery-fits.webp",238742,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/catch-by-fishery-residuals.png",281037,116326,116326,164711,TRUE,"pngquant","lossy PNG quality 50-78","figures/catch-by-fishery-residuals.webp",244500,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/cpue-fits.png",459961,148121,148121,311840,TRUE,"pngquant","lossy PNG quality 50-78","figures/cpue-fits.webp",160604,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/cpue-regional-share.png",162344,66073,66073,96271,TRUE,"pngquant","lossy PNG quality 50-78","figures/cpue-regional-share.webp",123008,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/cpue-residuals.png",544532,169208,169208,375324,TRUE,"pngquant","lossy PNG quality 50-78","figures/cpue-residuals.webp",167094,2114,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/depletion-by-area.png",638791,180068,180068,458723,TRUE,"pngquant","lossy PNG quality 50-78","figures/depletion-by-area.webp",178328,1740,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/f-area-contribution.png",174390,57467,57467,116923,TRUE,"pngquant","lossy PNG quality 50-78","figures/f-area-contribution.webp",97252,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/f-juvenile-adult-by-area.png",580262,182561,182561,397701,TRUE,"pngquant","lossy PNG quality 50-78","figures/f-juvenile-adult-by-area.webp",152568,29993,TRUE,"WebP quality 66","",NA,0,FALSE,"PDF JPEG disabled"
"figures/fishery-process.png",238794,98282,98282,140512,TRUE,"pngquant","lossy PNG quality 50-78","figures/fishery-process.webp",208490,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
"figures/fishery-selectivity-length.png",238794,98282,98282,140512,TRUE,"pngquant","lossy PNG quality 50-78","figures/fishery-selectivity-length.webp",208490,0,FALSE,"WebP candidate larger than PNG","",NA,0,FALSE,"PDF JPEG disabled"
