"table","file","relative_path","label","caption","description","format","rows","columns","placement","status"
"fishery-names","fishery-names.csv","tables/fishery-names.csv","Fishery names","Fishery definitions used by the 2026 bigeye tuna assessment, including fishery number, descriptive fishery name, region, selectivity group, and tag recapture group assignment where available.","Fishery names","csv",2343,7,"auto","ok"
"tag-reporting-groups","tag-reporting-groups.csv","tables/tag-reporting-groups.csv","Tag reporting groups","Tag reporting group labels used by the 2026 bigeye tuna assessment. These labels document the reporting-rate groups used to interpret tag recapture and reporting-rate diagnostics.","Fishery names","csv",2069,3,"auto","ok"
"parameter-bound-hit-summary","parameter-bound-hit-summary.csv","tables/parameter-bound-hit-summary.csv","Parameter bound hit summary","Summary of estimated parameters at their lower or upper bounds for the 2026 bigeye tuna assessment. Counts are reported by model, with separate totals for lower-bound hits, upper-bound hits, and movement-related parameters.","Diagnostics","csv",71,10,"auto","ok"
"parameter-bound-hit-detail","parameter-bound-hit-detail.csv","tables/parameter-bound-hit-detail.csv","Parameter bound hit detail","Detailed list of estimated parameters that hit their lower or upper bounds in the 2026 bigeye tuna assessment. The table includes parameter names, estimates, bound values, and movement or selectivity context where it can be inferred.","Diagnostics","csv",2455,9,"auto","ok"
