"payloads","figures","figure_files","tables","table_files","build_errors","html","source","source_file","type","id","label","relative_path","format","placement","status","sidecar_files","errors","html_file","html_status","interactive_viewer_file","interactive_viewer_status","files","table_errors","qmd_file","Model","Active parameters","Bound hits","Lower hits","Upper hits","Movement parameters","Movement bound hits","Movement hit rate","Movement directions hit","Hit rate"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","population-biology","Stock-recruitment relationship","figures/population-biology.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","recruitment-by-area","Recruitment by area","figures/recruitment-by-area.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","region-map","Region map","figures/region-map.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","regional-movement","Regional movement","figures/regional-movement.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","spawning-potential-with-without-fishing","Spawning potential with and without fishing","figures/spawning-potential-with-without-fishing.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","tag-attrition-all","Tag attrition","figures/tag-attrition-all.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","tag-attrition-by-program","Tag attrition by program","figures/tag-attrition-by-program.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","tag-attrition-by-region","Tag attrition by recapture region","figures/tag-attrition-by-region.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","tag-returns-all","Tag returns over time","figures/tag-returns-all.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/indices/report-files.csv","figure","tag-returns-by-group","Tag returns by recapture group","figures/tag-returns-by-group.png","png","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
